floor1,prob_reach_floor1,prob_complete_after_floor1,floor1_2,prob_reach_floor1_2,prob_complete_after_floor1_2,floor1_2_3,prob_reach_floor1_2_3,prob_complete_after_floor1_2_3,total,,,floor1,floor1_2,floor1_2_3
532,0.04445,0.0650518092384121,961,0.00095,0.308154549787794,1551,0.00281,0.5966,2228,,,,,
524,0.02183,0.083712506483631,1004,0.03443,0.101937598075709,1616,0.06214,0.07412,2293,,,,,
530,0.0376,0.0693959347613141,997,0.02202,0.12658592461451,1569,0.00803,0.40304,2261,,,,,
511,0.00498,0.121750581887447,994,0.01817,0.138256156118922,1567,0.00721,0.44869,2294,,,,,
521,0.0161,0.0916192212193727,990,0.01341,0.154854653976002,1580,0.0138,0.30675,2247,,,,,
515,0.00819,0.10898906461665,978,0.00487,0.211630041054027,1537,0.00126,0.72583,2284,,,,,
517,0.01044,0.102965095565681,986,0.00988,0.172632021468607,1512,0.00011,0.88264,2279,,,,,
524,0.02183,0.083712506483631,990,0.01341,0.154854653976002,1574,0.01028,0.35407,2271,,,,,
534,0.05189,0.0609139459038858,995,0.01934,0.134291887752129,1596,0.02858,0.18432,2288,,,,,
534,0.05189,0.0609139459038858,982,0.00715,0.19156813642142,1566,0.00672,0.4501,2278,,,,,
531,0.04096,0.0671977840691001,986,0.00988,0.172632021468607,1583,0.01589,0.30283,2260,,,,,
531,0.04096,0.0671977840691001,1001,0.02824,0.112061372533792,1550,0.00265,0.59829,2277,,,,,
519,0.01327,0.0971760516042577,1002,0.03048,0.108613965165864,1564,0.00602,0.45301,2256,,,,,
535,0.05631,0.0589208016905911,1005,0.03643,0.0987078893913366,1537,0.00126,0.72583,2224,,,,,
528,0.03161,0.0739511142732888,1010,0.04873,0.0836257027438171,1601,0.03517,0.15017,2268,,,,,
491,0.00021,0.199982905300618,1007,0.04063,0.0924632563358347,1570,0.00839,0.40158,2242,,,,,
532,0.04445,0.0650518092384121,979,0.00536,0.206511311307996,1516,0.00019,0.85899,2228,,,,,
534,0.05189,0.0609139459038858,1000,0.02651,0.115582024434988,1570,0.00839,0.40158,2262,,,,,
520,0.01473,0.0943687944150022,951,0.00028,0.371684041748741,1528,0.0006,0.79821,2255,,,,,
516,0.00914,0.105947560544889,969,0.00217,0.260627845005088,1539,0.0014,0.68915,2221,,,,,
520,0.01473,0.0943687944150022,945,0.00018,0.411352482849016,1508,0.0001,0.90257,2290,,,,,
520,0.01473,0.0943687944150022,961,0.00095,0.308154549787794,1568,0.00757,0.44727,2224,,,,,
